+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+     Fluorescense progressions used for the fit of the potentials published in the
+     article 'The 1S+1S asymptote of Sr2 studied by Fourier-transform spectroscopy' 
+   
+
+  A. Stein, H. Knoeckel, E. Tiemann
+  Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+  30167 Hannover, Germany
+   
+
+  2006-2010 Hannover
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations:

Isotope 1 and 2:  mass numbers of the isotopes

v', J', v", J":   vibrational and rotational quantum numbers of the excited and
                  absorbing level, respectively. 
				  v'=-1 means that the vibrational quantum number of the excited 
				  state is not assigned until now or that the transition belongs 
				  to a different excited state. PA means that the transitions is 
                  a PA resonance taken from Phys. Rev. A 78, 062708 (2008)				  

line frequency:   frequency of transition [cm-1]

uncertainty:      The estimated experimental uncertainty of transition [cm-1] 

obs-calc:         observed minus calculated values for the potential fit of the ground state 


 Isotope 1   Isotope 2   v'  J'  v''  J''   line frequency   uncertainty  obs-calc
        86          88   1  130  29   131       16814.9939        0.005    0.0025
        86          88   1  130  30   129       16807.8704        0.010   -0.0032
        86          88   1  130  30   131       16802.5807        0.005    0.0013
        86          88   1  130  31   129       16796.1455        0.005   -0.0023
        86          88   1  130  31   131       16791.0302        0.005    0.0001
        86          88   1  130  32   129       16785.2828        0.005   -0.0050
        86          88   1  130  32   131       16780.3528        0.005   -0.0026
        86          88   1  130  33   129       16775.3075        0.010    0.0004
        86          88   1  130  33   131       16770.5719        0.005    0.0010
        86          88   1  130  34   129       16766.2268        0.005    0.0028
        86          88   1  130  34   131       16761.6952        0.005   -0.0024
        86          88   1  130  35   129       16758.0710        0.010    0.0074
        86          88   1  130  35   131       16753.7560        0.010   -0.0086
        86          88   1  151   4   150       17438.5352        0.005   -0.0029
        86          88   1  151   4   152       17428.6889        0.005   -0.0033
        86          88   1  151   5   150       17406.3111        0.005    0.0002
        86          88   1  151   5   152       17396.5902        0.010    0.0033
        86          88   1  151   6   150       17374.9442        0.005    0.0028
        86          88   1  151   6   152       17365.3420        0.005    0.0008
        86          88   1  151   7   150       17344.4307        0.005    0.0016
        86          88   1  151   7   152       17334.9553        0.005    0.0008
        86          88   1  151   8   150       17314.7753        0.005    0.0017
        86          88   1  151   8   152       17305.4275        0.005    0.0011
        86          88   1  151   9   150       17285.9751        0.005    0.0010
        86          88   1  151   9   152       17276.7512        0.005   -0.0052
